company,title,body,rating,sentiment
PostNord i Danmark,Ja når i nu gerne vil have mig mening…,"Ja når i nu gerne vil have mig mening om post nord, så må jeg desværre igen kun give 1 stjerne. Har kun “ brugt” jer fordi der ikke var andre muligheder. I kan bare ikke finde ud af at aflevere pakker, selv om i er et post firma. Desværre ser jeg ingen forbedring i jeres håndtering af pakke post.",1,negative
PostNord i Danmark,Leverer aldrig den dato de lover.,"Er hjemme hele dagen, da leveringen er sat til d.15-05-2023 og kan via Track&Trace se pakken er på fordelingscenteret tæt på mit hjem. Får da en besked i løbet af eftermiddagen om, at pakken leveres d. 16.05.23. Jeg smutter ud af huset, og kommer hjem igen til beskeden om, at de har forsøgt at levere pakken uden held. Det er nu 2. gang med Post Nord inden for en uge.Ingen af gangene har man kunne stole på SMS-service og track-and-trace. Få det nu fikset? I irriterer jeres kunder unødvendigt.",1,negative
PostNord i Danmark,Leveringen er hurtig,"Leveringen er hurtig.  Ville bare ønske, at hvis man kan se jeg er hjemme, behøver man absolut ikke hamre  sådan på døren, at mine katte skal flyve rundt i huset af skræk. Eller okay.",3,neutral
PostNord i Danmark,Hurtig levering lige til min dør ...,"Meget venligt postbud kom og gav mig min pakke i hånden før middag, med en vare jeg bestilte på nettet i går eftermiddag - bedre kan det ikke gøres. Tak til PostNord",5,positive
PostNord i Danmark,God og hurtig levering lige til døren,"God og hurtig levering lige til døren. Punktlige og afleveret med et smil som altid.Vælger altid postnord frem for andre udbydere til leveringer, hvis muligt.",5,positive
PostNord i Danmark,Mine pakker bliver bare leveret til…,"Mine pakker bliver bare leveret til tiden og lagt det rigtige sted hver gang og så får man besked hvad dag de bliver leveret på og når de er leveret , perfekt .",5,positive
PostNord i Danmark,Første levering gik galt,"Første levering gik galt - pakken blev væk, anden levering gik ikke til det posthus jeg havde valgt, men til et posthus i den anden ende af byen. Det er ikke professionelt.",2,negative
PostNord i Danmark,Super hurtig forsendelse.,"Super hurtig forsendelse.Bestilte en vare, der skulle sendes med Post Nord, Søndag kl 16. Pakken kunne afhentes mandag kl 10.",5,positive
PostNord i Danmark,Hurtig og sikker levering,Hurtig og sikker levering. Jeg havde tilladt at pakken blev lagt i carporten. Post gutten haved gemt pakken så den ikke var synlig fra gaden... andre fragtmænd ville bare ha lagt pakken til frit fremme.,5,positive
PostNord i Danmark,Dårlig service,"Igen igen ikke leveret til dør (3. gange på en uge), ikke engang forsøgt leveret til dør. Havde bestilt hjemmelevering, men de aflevere direkte i pakkeshop",1,negative
PostNord i Danmark,Det var en god oplevelse da jeg først…,Det var en god oplevelse da jeg først havde modtaget min pakke 12.20 d. D. Men inden da noget frustrerende ikke at vide hvornår pakken kom.. Der blev oplyst mellem 8.00 og 21.00. Prøvede forgæves at finde ud af om kunne spore min pakke.,4,positive
PostNord i Danmark,I er al for langsomme,"I er al for langsomme, og endnu mere irriterende er det at, man får at vide I kommer fredag, med pakkerne men der kom ingen... I kom først mandag... Men et plus at I havde behandlet pakkerne ordelig",3,neutral
PostNord i Danmark,Sødeste betjening af kørende fragtmand,"Sødeste betjening af jeres kørende fragtmand - ringede da jeg ikke lige var hjemme, så han kunne sætte pakken - i stedet for at tage den med igen.",5,positive
PostNord i Danmark,Jeg er møgsyg og venter en pakke,Jeg er møgsyg og venter en pakke. Jeg havde overvejet at hænge en seddel op på døren om at jeg er hjemme for det plejer at hjælpe.Så får jeg en besked om at posten lige har været der og ringet på men der var ingen hjemme og jeg kan mærke det igen igen og ikke nok med det så står idioten og tager en selfi på gaden foran min gadedør. Og jeg bliver simpelthen så træt ....⁸,1,negative
PostNord i Danmark,Posten gad ikke aflevere konvolutten i…,"Posten gad ikke aflevere konvolutten i min brevkasse, istedet skulle jeg helt ud på Århus Øst for at hente den. Jeg bor i Århus Nord,",1,negative
PostNord i Danmark,Der blev ikke ringet på!,"Denne gang gik det dog hurtigt med levering, men min pakke bliver bare stillet uden for døren, der bliver ikke ringet eller banket på, jeg får blot en sms om at pakken er afleveret hos mig, og jeg var hjemme hele tiden, tænker det må være vikar, for der plejer at blive ringet på!",3,neutral
PostNord i Danmark,Hurtig og god service!,"PostNord gør et rigtigt godt job, og levere bestilte vare rigtigt hurtigt. Så det var en super god oplevelse!!",5,positive
PostNord i Danmark,Det er egentlig utroligt i spørg,Det er egentlig utroligt i spørg. For jeg har sendt 2 mail netop omkring dette. Der er altid problemer med jer som levrendør. Man kan følge pakken. Der kunne man se at pakken var kommet 7.35 til Brøndby og den ville blive leveret 11 maj i Albertslund. Den kom ikke . Den kom dagen efter kl 17.30. og pludselig kunne man ikke se at den skulle komme 11 maj,1,negative
PostNord i Danmark,Hurtig levering,"Hurtig levering. Var ikke hjemme ved levering, men fik mail fra Postnor at pakke var leveret og lå i min postkasse.",5,positive
PostNord i Danmark,Bestilling fra My Trendy Phone kom fra…,Bestilling fra My Trendy Phone kom fra dag til dagbog blev fint leveret til aftalt hjemmemodtagelse,5,positive
PostNord i Danmark,7:32,7:32 - det var den tid POSTNORD skulle bruge på at levere ordre bestilt SØNDAG kl 15:28. Godkendt.,5,positive
PostNord i Danmark,Hurtigere levering end ventet👍,"Hurtigere levering end ventet👍Samt sød betjening, som hjalp med levering til døren (udhuset)😍",5,positive
PostNord i Danmark,Det tog PostNord 3 dage fra pakken va…,Det tog PostNord 3 dage fra pakken va registret hos dem til den var på et pakkecenter,2,negative
PostNord i Danmark,God fremtoning,"Flink, veltalende pæn ung mand - leverede lige ind i bagggangen 👍👍👍Det ka vi li’ 🌼🌼🌼",5,positive
PostNord i Danmark,Kan godt li at posten ringede til mig…,Kan godt li at posten ringede til mig pga pakken ikke ku gå i postkassen det er god service.,5,positive
PostNord i Danmark,Det var en god postnord ansat som…,"Det var en god postnord ansat som leverede vores pakke, dejligt at pakken bliver lagt forsigtigt .",4,positive
PostNord i Danmark,"Levering fin, pakken ødelagt, varer heldigvis OK.","Levering fin, men pakken ødelagt (som jævnligt!) - varerne havde heldigvis ikke taget skade.",3,neutral
PostNord i Danmark,Pakken var bare stillet uden aftale,"Pakken var stillet uden for døren, selv og jeg havde skrevet i appen personlig levering.",1,negative
PostNord i Danmark,Mega hurtig levering,"Mega hurtig levering, dejligt, bruger altid post nord, når det er en mulighed, 🙂",5,positive
PostNord i Danmark,den samme mening som de andre gange jeg…,"den samme mening som de andre gange jeg har skrevet, det er den samme service den forrenter sig ikke.",5,positive
PostNord i Danmark,Flot levering i stalden,"Levering til til tiden og da det er foder, der ikke må blive vådt, lægger de pakken inde i stalden. Det er flot service",5,positive
PostNord i Danmark,"Posten ringede ,han kunne ikke ligge…","Posten ringede ,han kunne ikke ligge pakken som aftalt men fik så et nyt sted hvor den blev lagt fin fin serviceMvh shl",5,positive
PostNord i Danmark,Denne pakke kom hurtigt og sikkert frem…,"Denne pakke kom hurtigt og sikkert frem i modsætning til den forrige, som var i stykker",4,positive
PostNord i Danmark,vare bliver ikke afleveret på adresse…,vare bliver ikke afleveret på adresse selv om jeg var hjemme hele dagen,2,negative
PostNord i Danmark,God levering,"God levering, var ikke hjemme fik et opkald! Aftalte bare ligge pakken.👌",5,positive
PostNord i Danmark,Pakken blev leveret på det lovede…,Pakken blev leveret på det lovede tidspunkt efter først at være anmeldt pr. e-mail .,5,positive
PostNord i Danmark,Vi vælger aldrig mere Post Nord,"Vi vælger aldrig mere Post Nord. Der er altid forsinkelse, og der er ingen kommunikation om det. Det var en fejl, at jeg valgte dem denne gang. Det sker ikke igen.",1,negative
PostNord i Danmark,Ikke så meget at fortælle bare pisse…,Ikke så meget at fortælle bare pisse god kvalitet og kom Mega hurtigt,5,positive
PostNord i Danmark,Hurtig levering..,Hurtig levering... Selv på Langeland hvor vi endnu ikke har sat navn på postkassen,5,positive
PostNord i Danmark,Meget  hurtig levering,"Meget  hurtig levering. Varen var klar til afsendelse om eftermiddagen, og blev leveret  næste formiddag.",5,positive
PostNord i Danmark,Fin besked om levering og tiden blev…,"Fin besked om levering og tiden blev overholdt, venlig postmand",5,positive
PostNord i Danmark,Altid søde og venlig bude,"Jeg har en god oplevelse, pakkerne blev afleveret det rette sted",5,positive
PostNord i Danmark,Alt var som forventet,Alt var som forventet og jeg blev informeret via app og med modtagerflex er det så nemt,5,positive
PostNord i Danmark,Hurtig levering og i nærheden…,Hurtig levering og i nærheden afhentning sted fra mit address,5,positive
PostNord i Danmark,En til i rækken af gode leverancer.,En til i rækken af gode leverancer.Man er velinformeret hele vejen.,5,positive
PostNord i Danmark,Leveret dagen efter den blev afsendt,Leveret dagen efter den blev afsendt. Bedre kan det ikke gøres,5,positive
PostNord i Danmark,Præcis levering  på datoen super tilfreds,At min vare blev leveret præcis som lovet ved bestilling,5,positive
PostNord i Danmark,Der er et postbud som altid leverer til…,Der er et postbud som altid leverer til døren her ved os. Han skal have fem stjerner.,5,positive
PostNord i Danmark,Hurtig og præcis levering,Hurtig og præcis levering. God information om leveringsted og evt. ændring.,5,positive
PostNord i Danmark,Jeg har ikke modtaget pakken!??,Jeg har ikke modtaget pakken!??Venligst kontakt mig ASAP..!,1,negative
PostNord i Danmark,En smilende chauffør og besked om…,En smilende chauffør og besked om pakken blev afleveret super service,5,positive
PostNord i Danmark,Min varer kom hurtig fra cotonshoppen…,Min varer kom hurtig fra cotonshoppen dejlig tak,5,positive
PostNord i Danmark,perfekt,"Hele forløbet var som lovet, hurtigt, og relevant info undervejs",5,positive
PostNord i Danmark,Baren blev leveret til tiden,"Baren blev leveret til tiden, så fuld tilfredshed.",5,positive
PostNord i Danmark,Jeres advisering via SMS fungerer ikke…,Jeres advisering via SMS fungerer ikke altid lige godt,5,positive
PostNord i Danmark,tæt på bopæl fremvise beskeden på mobil Hurtigt,Tæt på bopælen. viste beskeden på mobilen hurtigt,5,positive
PostNord i Danmark,Hurtig levering.,"Bestilte Lørdag, og kunne hente mandag.  God service.",5,positive
PostNord i Danmark,Perfekt,Pakken stillet under tag som en ekstra service fra buddet. Tak for det.,5,positive
PostNord i Danmark,Pakken var ødelagt og krøllet,"Pakken var ødelagt og krøllet, ligeså var indholdet.",1,negative
PostNord i Danmark,Altid hurtig og effektiv levering med…,Altid hurtig og effektiv levering med et smil 😊,5,positive
PostNord i Danmark,Hurtig levering,Hurtig levering. Hvad mere kan man forlange,5,positive
PostNord i Danmark,Pakken var leveret til døren som…,Pakken var leveret til døren som beskrevet.,5,positive
PostNord i Danmark,Super hurtig levering og med foto af…,Super hurtig levering og med foto af hvor pakken et sat!,5,positive
PostNord i Danmark,Vores Postmand på Bryggen er altid…,Vores Postmand på Bryggen er altid venlig og behagelig,5,positive
PostNord i Danmark,God og altid god betjening,Altid hurtig hjælp og god betjening og venlighed,4,positive
PostNord i Danmark,De kommer altid til tiden.,De kommer altid til tiden. God kommunikation.,5,positive
PostNord i Danmark,Ja jeg fik en Mail hvor der stod pakken…,Ja jeg fik en Mail hvor der stod pakken var afleveret men det var den ikke .Kom først senere .,1,negative
PostNord i Danmark,Hurtig aflevering af pakken uden for…,Hurtig aflevering af pakken uden for min dør!:-).,5,positive
PostNord i Danmark,Jeg fik aldrig besked om pakken var…,Jeg fik aldrig besked om pakken var leveret,1,negative
PostNord i Danmark,Hurtigt og nemt leveret lige til døren.,Hurtigt og nemt leveret lige til døren.,5,positive
PostNord i Danmark,Blev leveret 4 dage senere end lovet,Blev leveret 4 dage senere end lovet,2,negative
PostNord i Danmark,Hurtig levering og i overensstemmelse…,Hurtig levering og i overensstemmelse med den estimerede tid,5,positive
PostNord i Danmark,Perfekt levering,"Perfekt levering, altid! Tusind tak!",5,positive
PostNord i Danmark,Hurtig levering og besked herom,"Hurtig levering og besked herom, dejligt",5,positive
PostNord i Danmark,Fin lydløs levering.,"Denne gang var leveringen med Postnord perfekt alle oplysninger var korrekte, godt gået Postnord.",5,positive
PostNord i Danmark,Det var fint,"Det var fint, de fandt et sted at stille pakken.Jeg skal lave et bedre sted, de kan stille pakken. 👍",5,positive
PostNord i Danmark,Pakken blev leveret til døren.,Pakken blev leveret til døren.,4,positive
PostNord i Danmark,Det var perfekt  afleveret ved døren,Det var perfekt  afleveret Ved døren  og tid,5,positive
PostNord i Danmark,100% ok,100% ok. Kunne ikke gøres bedre!,5,positive
PostNord i Danmark,Meget hurtig levering,"Meget hurtig levering, fra dag til dag. Jeg er meget tilfreds.",5,positive
PostNord i Danmark,Pakken var stillet diskret i garagen,Pakken var stillet diskret i garagen,5,positive
PostNord i Danmark,Glad og tilfreds med leveringen,Glad og tilfreds med leveringen,5,positive
PostNord i Danmark,Pakkerne kom som lovet,Pakkerne kom som lovet - og meddelelser undervejs.,5,positive
PostNord i Danmark,Leveringen blev foretaget som planlagt…,Leveringen blev foretaget som planlagt og hurtigt 😊,5,positive
PostNord i Danmark,Pakken kom hurtigt og i ordentlig…,Pakken kom hurtigt og i ordentlig stand! :),4,positive
PostNord i Danmark,Thank you dearyou  are a great team,"Thank you dearyou  are a great team, thank you",5,positive
PostNord i Danmark,Som altid præcis levering .,Som altid præcis levering .,5,positive
PostNord i Danmark,hurtig forsendelse til shop,hurtig forsendelse til shop,4,positive
PostNord i Danmark,Pakken kom hurtigt,"Pakken kom hurtigt, jeg er virkelig glad for den😊",5,positive
PostNord i Danmark,Meget hurtig levering tak,Meget hurtig levering tak,5,positive
PostNord i Danmark,Advisering før levering,"Advisering før levering, og levering som lovet.",5,positive
PostNord i Danmark,Fin levering og placering,Fin levering og placering,4,positive
PostNord i Danmark,Hurtig og præcis levering.,Hurtig og præcis levering.,5,positive
PostNord i Danmark,Fuld tilfreds,Fuld tilfreds. Let at afhente i pakketårn,5,positive
PostNord i Danmark,Fungerede nem og hurtigt,Fungerede nem og hurtigt,4,positive
PostNord i Danmark,Hurtig og sikker levering,Hurtig og sikker levering,5,positive
PostNord i Danmark,Bare så god oplevelse,Bare så god oplevelse,5,positive
PostNord i Danmark,Pakken er ikke leveret,Pakken er ikke leveret,1,negative
PostNord i Danmark,Hurtig og funk postmanspostmand.,Hurtig og funk postmans.,5,positive
PostNord i Danmark,Der var en stor revne i papkassen,"Der var en stor revne i papkassen, derfor kun 4 stjerner",4,positive
PostNord i Danmark,God og hurtig levering 🌞,God og hurtig levering 🌞,5,positive
PostNord i Danmark,Fin og præcis levering,Fin og præcis levering,5,positive
PostNord i Danmark,Levering som lovet i mail og sms,Levering til tiden som lovet i mail og sms.,5,positive
PostNord i Danmark,leveret til tiden...,leveret til tiden...,5,positive
PostNord i Danmark,Meget pænt leveret.,Meget pænt leveret.,5,positive
PostNord i Danmark,Altid god service 👍🏻,Altid god service 👍🏻,5,positive
PostNord i Danmark,Effektivt og præcist,Effektivt og præcist,5,positive
PostNord i Danmark,Hurtige som altid.,Hurtige som altid.,5,positive
PostNord i Danmark,Postmand Per er altid glad 👍,Postmand Per er altid glad 👍,5,positive
PostNord i Danmark,Alt var som det skulle være og varen…,Alt var som det skulle være og varen var ubeskadiget,5,positive
PostNord i Danmark,Levering til tiden,Levering til tiden,5,positive
PostNord i Danmark,Helt okay HURTIG FREMME ens vare,Helt okay HURTIG FREMME ens vare,4,positive
PostNord i Danmark,lynhurtig afleveret på rette sted,lynhurtig afleveret på rette sted,5,positive
PostNord i Danmark,Jeg fik en mail om levering og det…,Jeg fik en mail om levering og det virkede 100%Mvh. KIM BJERG,5,positive
PostNord i Danmark,Alt for lang tid før bliver leveret,Alt for lang tid før bliver leveret,2,negative
PostNord i Danmark,Ok levering.,Ok levering.,4,positive
PostNord i Danmark,Fin levering,Fin levering,5,positive
PostNord i Danmark,At jeg altid for mine varer til den tid…,At jeg altid for mine varer til den tid der står,5,positive
PostNord i Danmark,Mega hurtigt👍,Mega hurtigt👍,5,positive
PostNord i Danmark,Flink mand,"God service, og høflig ung mand",5,positive
PostNord i Danmark,Så fint,Som lovede..,5,positive
PostNord i Danmark,hurtig og og nem afhentning,hurtig og og nem afhentning,5,positive
PostNord i Danmark,I er hurtige og gode,I er hurtige og gode,5,positive
PostNord i Danmark,AFLEVERINGSTIDSPUNKT,Et CA. TIDSPUNKT PÅ DAGEN VILLE VÆRE ØNSKELIG,4,positive
PostNord i Danmark,God service,Altid hurtig levering,5,positive
PostNord i Danmark,Altid god service,Altid god serviceFlink chauffør,5,positive
PostNord i Danmark,Jamen den kom lige som den skulle :-),Jamen den kom lige som den skulle :-),5,positive
PostNord i Danmark,Det fungere fint,Det fungere fint,3,neutral
PostNord i Danmark,Hurtig og problemfri levering.,Hurtig og problemfri levering.,5,positive
PostNord i Danmark,Præcision og hurtig levering,Præcision og hurtig levering,5,positive
PostNord i Danmark,Alt er ok super,Alt er ok super,5,positive
PostNord i Danmark,God information og hurtig levering,God information og hurtig levering,5,positive
PostNord i Danmark,Perfekt,Alt var som det skulle være. Til tiden og alt Ok,5,positive
PostNord i Danmark,Høflig PostNord person afleverede,Høflig PostNord person afleverede Mandag formiddag som forudsagt.,5,positive
PostNord i Danmark,Altid hurtigt og nemt,Altid hurtigt og nemt,5,positive
PostNord i Danmark,👍🏼,Super hurtig levering👍🏼👍🏼👍🏼👍🏼👍🏼,5,positive
PostNord i Danmark,Meget hurtig og korrekt leverence. Perfekt.,Meget hurtig og korrekt leverence,5,positive
PostNord i Danmark,Til tiden,Til tiden Venlig post,5,positive
PostNord i Danmark,mange tak det  gik hurtigt,mange tak det  gik hurtigt,5,positive
PostNord i Danmark,Fantastisk god medarbejder og hurtig…,Fantastisk god medarbejder og hurtig levering,5,positive
PostNord i Danmark,hurtigt og nemt,En nem måde at få sin pakke.,5,positive
PostNord i Danmark,Meget hurtig levering,Meget hurtig levering. :-),5,positive
PostNord i Danmark,Pakken kom som lovet supert tak,Pakken kom som lovet supert tak,5,positive
PostNord i Danmark,Super hurtig levering,Super hurtig levering,5,positive
PostNord i Danmark,Det er altid til tiden.,Det er altid til tiden.,5,positive
PostNord i Danmark,Very god oplevelse,Very god oplevelse,5,positive
PostNord i Danmark,Afleveret til tiden,Afleveret til tiden,5,positive
PostNord i Danmark,Det kom som de havde sagt,Det kom som de havde sagt. Alt er godt,5,positive
PostNord i Danmark,"God,hurtig og fin levering","God,hurtig og fin levering",5,positive
PostNord i Danmark,Aflevering til døren,Aflevering til døren,5,positive
PostNord i Danmark,Jeres medarbejder var høflig,Jeres medarbejder var høflig,5,positive
PostNord i Danmark,Fint,"Fint, hurtigt",5,positive
PostNord i Danmark,Bogpakken kom som lovet.,Bogpakken kom som lovet.,5,positive
PostNord i Danmark,Leveret til tiden,Helt perfekt,5,positive
PostNord i Danmark,Fin sikker levering.,Fin sikker levering.,5,positive
PostNord i Danmark,Alt gik som det skulle,Alt gik som det skulle,5,positive
PostNord i Danmark,Alt var med et smil,Alt var med et smil,5,positive
PostNord i Danmark,Som det skal være.,Som det skal være.,5,positive
PostNord i Danmark,Det var god service,Det var god service,5,positive
PostNord i Danmark,Den kom hurtigt frem,Den kom hurtigt frem,5,positive
PostNord i Danmark,Fint hurtigt godt,Fint hurtigt godt,4,positive
PostNord i Danmark,Punktlig og venlig,Punktlig og venlig,5,positive
PostNord i Danmark,Den kom som aftalt,Den kom som aftalt,5,positive
PostNord i Danmark,Uproblematisk og rettidig levering,Uproblematisk og rettidig levering,5,positive
PostNord i Danmark,Nemt og hurtigt,Nemt og hurtigt,5,positive
PostNord i Danmark,"at det tager en uge for en pakke, jeg kunne desværre ikke selv vælge, for så havde jeg valgt GLS eller DAO, som plejer st gøre det på 2 dage",Lang leveringstid,3,neutral
PostNord i Danmark,lev var ok,Ingen problemer.,5,positive
PostNord i Danmark,De kom til tiden.,De kom til tiden.,5,positive
PostNord i Danmark,Hurtig levering.,Hurtig levering.,5,positive
PostNord i Danmark,Alt var som det skulle være,Hurtig levering.,5,positive
PostNord i Danmark,Hurtigt levering,Hurtigt levering,5,positive
PostNord i Danmark,Kom til tiden,Kom til tiden,5,positive
PostNord i Danmark,Kom til tiden,Kom til tiden,5,positive
PostNord i Danmark,Hurtig levering,Hurtig levering,5,positive
PostNord i Danmark,ganske udmærket og tilfedsstillende,hurtig levering,4,positive
PostNord i Danmark,Hurtig levering,Hurtig levering,5,positive
PostNord i Danmark,hurtig levering,hurtig levering,5,positive
PostNord i Danmark,Hurtig levering,Hurtig levering,5,positive
PostNord i Danmark,God service,Hurtig levering,5,positive
PostNord i Danmark,Hurtig levering,Hurtig levering,5,positive
PostNord i Danmark,Hurtig levering,Hurtig levering,5,positive
PostNord i Danmark,God oplevelse.,God oplevelse.,5,positive
PostNord i Danmark,Dejlig service,Dejlig service,5,positive
PostNord i Danmark,Levering som annonceret,Levering som annonceret,5,positive
PostNord i Danmark,Meget fint :),Meget fint :),5,positive
PostNord i Danmark,Lynhurtig levering,Lynhurtig levering. Fantastisk,5,positive
PostNord i Danmark,Hurtigt 😉😉😉,Hurtigt 😉😉😉,5,positive
PostNord i Danmark,Super levering,Super levering,5,positive
PostNord i Danmark,Pakken kommer til tiden og jeg modtaget en sms,Hurtig ekspedition,5,positive
PostNord i Danmark,👍🏼👍🏼🙏🏼,👍🏼👍🏼🙏🏼,5,positive
PostNord i Danmark,Hurtig levering,Hurtig levering,5,positive
PostNord i Danmark,At min pakke kom som de 2 dage efter…,At min pakke kom som de 2 dage efter den blev sendt,4,positive
PostNord i Danmark,God service med påmindelse,God service med påmindelse,4,positive
PostNord i Danmark,God og hurtig levering lige til døren,"God og hurtig levering lige til døren. Punktlige og afleveret med et smil som altid.Vælger altid postnord frem for andre udbydere til leveringer, hvis muligt.",5,positive
PostNord i Danmark,Super fin levering uden problemer,Super fin levering uden problemer,5,positive
PostNord i Danmark,Pakke kom hurtigt og alt var fin.,Pakke kom hurtigt og alt var fin.Er ordblind,5,positive
PostNord i Danmark,Altid god levering,"Altid god levering, takket være de søde ansatte 🤗 Mvh Nanna",5,positive
PostNord i Danmark,Alt ok,Alt ok. Hentede selv.,5,positive
PostNord i Danmark,Skal være hjemme hele dagen da de…,Skal være hjemme hele dagen da de kommer mellem 8 og 21.Det bør kunne være mere præcis.,3,neutral
PostNord i Danmark,God og hurtig levering,God og hurtig levering,5,positive
PostNord i Danmark,ANBEFALING,"Postbuddet, som leverede en pakke til os i dag, kan beskrives som særdeles venlig og omhyggelig. Han efterkommer altid vor anmodning anbragt på hoveddøren på dansk og engelsk om at banke på, så vi bliver opmærksomme på, at noget er kommet. De fleste af hans kolleger husker også at yde denne lette service, men der forekommer under tiden nogen, som enten ""ikke kan læse"" eller ikke vil imødekomme vor anmodning. Én måtte vi for år tilbage klage over. Hans ubehagelige optræden fortjente en påtale.I øvrigt anbefaler vi til andre kun at bruge GLS og Jer. Alle andre er uønskede.Dr. Erling Brodersen og tandlæge Mai-Britt Popp Matzen",5,positive
PostNord i Danmark,Pakken blev hurtigt sendt til…,"Pakken blev hurtigt sendt til pakkecenter,Som jeg har hentet.",5,positive
PostNord i Danmark,"Det var en god oplevelse,det var til…","Det var en god oplevelse,det var til tiden.",5,positive
PostNord i Danmark,Hurtig levering og har hele tiden kunne…,Hurtig levering og har hele tiden kunne følge pakken,5,positive
PostNord i Danmark,vare fik mand som aftalt.,vare fik mand som aftalt.,5,positive
PostNord i Danmark,Ingen problemer,Ingen problemer,4,positive
PostNord i Danmark,Fik besked varen er på vej,"Fik besked varen er på vej, estimate d 10.May. Derefter delay. Sener brev ændre til d11.May. Siden ingen besked. Indtil 12.May. Siden firma afsendt varen tog 5 dage",2,negative
PostNord i Danmark,Leveret på min privat adresse selvom…,Leveret på min privat adresse selvom der står firma adresse på!!,1,negative
PostNord i Danmark,TILFREDS KUNDE…,Hurtig levering to dage før annonceret !!!,5,positive
