company,title,body,rating,sentiment,predicted,prob_pos,prob_neu,prob_neg
PostNord i Danmark,En god oplevelse,En god oplevelse,5,positive,positive,0.999,0.001,0.001
UPS,De skriver den er forsøgt leveret men…,De skriver den er forsøgt leveret men jeg var hjemme hele dagen. Hvorfor overhovedet give mig valget om hvor den skal afleveres når det alligevel ikke bliver opfyldt.,1,negative,neutral,0.096,0.478,0.425
FedEx,Manglende levering,"Jeg bestilte før jul en julegave, som skulle leveres lige op til jul. Jeg er nødt til at holde fri den dag de vil afl. pakken, men kl 17.30 undrer jeg mig over hvor den bliver af, og kontakter fedex, som siger at budet har været på adressen, men er smuttet igen. Dørklokken virker fint, og min postkasse er stadig tom, og uden en seddel.Dette gentager sig nogle gange, indtil jeg tvinger dem til at aflevere pakken på mit arbejde (efter jul). De vil derefter ikke engang give mig en form for kompensation i form af gratis levering eller andet, eftersom jeg har været nødsaget til at holde fri fra arbejde nogle gange for at modtage pakken. Mage til lortevirksomhed skal man lede længe efter.",1,negative,neutral,0.004,0.993,0.003
PostNord i Danmark,pakken blev ødelagt under levering,pakken blev ødelagt under levering - måske også pga dårlig pakning,2,negative,negative,0.004,0.006,0.99
PostNord i Danmark,Hurtigt levering,Hurtigt levering,5,positive,positive,0.926,0.07,0.005
PostNord i Danmark,Som altid god service👍😊,Som altid god service👍😊,5,positive,positive,0.998,0.001,0.001
FedEx,Et firma uden styr på det helt basale,"Jeg har bestilt en pakke med express, som i dag skulle være leveret for en måned siden. Har været i kontakt med kundeservice, og vil være ærlig og sige, at de var været venlige og effektive. Men jeg har ingen tillid til Fedex. For det første går der åbenbart ingen alarmklokker i gang hos dem, når de ikke har styr på, hvor en kundes pakke er. Det er i mine øjne utroligt bekymrende. De har åbenbart afleveret min pakke til et andet firma, men kan ikke komme i kontakt med denne “samarbejdspartner” efter tre ugers forsøg. Det tyder på, at de heller ikke kan finde ud af kommunikation med andre firmaer. Regner aldrig med at se den pakke jeg har betalt både told og express på.",1,negative,negative,0.22,0.066,0.714
PostNord i Danmark,Hurtig og nem!,Hurtig og nem!,5,positive,positive,0.987,0.011,0.002
FedEx,Op ad bakke,"Jeg bestilte genlevering af min pakke , da pakken var blevet forsøgt leveret dem dag. jeg fik besked om, at den ikke kunne leveres (costumer not available), SELVOM der var nogen hjemme hele dagen og på det tidspunkt, der stod, den blev forsøgt leveret.Over chatten aftalte jeg ny levering dagen efter, men der skete ingenting, selvom der var nogen hjemme for at tage imod. Ingen besked, mail eller opkald. Ingenting.  Sidste gang, fedex skulle levere en pakke, brugte jeg en hel dag hjemme, men fik alligevel en mail om, at pakken var forsøgt leveret, men at der ikke var nogen hjemme - SELVOM der var nogen hjemme. Det er spild af alles tid. Og som kunde føler man sig virkelig holdt for nar, når man troligt sidder og venter i timevis for at få en løgn smidt i hovedet om, at man ikke er hjemme. Det tror jeg godt, I selv kan se.Desuden får man besked om et 'door tag', der skal informere om, hvis der bliver lavet et andet leveringsforsøg. Der har ingen af gangene været sådan et. Derfor må man selv tage kontakt. Men det burde ikke være min opgave at kontakte jer for at lave en ny aftale, når der sker fejl med en levering. Det burde være omvendt. Åbenlyst.Håber, I kan bruge mit input.",1,negative,neutral,0.005,0.994,0.002
PostNord i Danmark,Jeg fik en besked at pakken vil komme i…,"Jeg fik en besked at pakken vil komme i går, torsdag, men den kom først i dag, fredag uden yderligere melding at den var forsinket.",2,negative,neutral,0.001,0.997,0.002
PostNord i Danmark,Præcis som lovet,"Præcis som lovet, hvad kan man forlange mere.",5,positive,neutral,0.037,0.949,0.013
PostNord i Danmark,Altid hurtigt og nemt,Altid hurtigt og nemt,5,positive,neutral,0.47,0.522,0.007
PostNord i Danmark,Venlig bud og aflevering til tiden,Venlig bud og aflevering til tiden,5,positive,neutral,0.187,0.81,0.003
PostNord i Danmark,Hurtig levering,Hurtig levering,5,positive,positive,0.953,0.045,0.002
PostNord i Danmark,Så fin 👍🤗,"Så fint som det plejer, tak 👍🤗",5,positive,positive,0.999,0.001,0.0
UPS,Jeg køre hjem fra arbejde tidligere på…,Jeg køre hjem fra arbejde tidligere på grund ups skal kommer forbi med min pakke fra 13:15 til 15:15 jeg har ventet til klokken 18:00 og ingen ups fragtmand kommer ikke forbi. Klokken 22:30 jeg fik email om det de vil kommer på mandag igen de some tidspunkt. Wt.f jeg kan ikke køre tidligere fra arbejde igen. Dårlig Dårlig service.,1,negative,neutral,0.004,0.991,0.005
UPS,Brug aldrig UPS.,Brug aldrig UPS.Fik sms at min pakke kan hentes i en butik fordi jeg var ikke hjemme som er løgn .Jeg gik 4 gange til butik men pakken var  der ikke.Jeg har ringet til UPS men får dårlig service og skal jeg vente.Har ventet allerede 1 uge.Hvordan 1 pakke kan forsvinde?,1,negative,negative,0.014,0.111,0.875
PostNord i Danmark,Hurtig levering,Hurtig levering,5,positive,positive,0.953,0.045,0.002
UPS,Hurtig levering,Det må siges at være hurtig levering. Pakke leveret en dag før estimeret. Lagt i pakkeboks (det er ikke alle fragtfirmaer der ved hvordan sådan en virker eller at de findes) Tusind tak.,4,positive,positive,0.999,0.0,0.001
UPS,Ringe service.,"Hele dagen har trackingen sagt at pakken ville blive leveret idag på min adresse, pludselig kl.15.20 siger den at pakken ikke kunne leveres. Jeg har været hjemme hele dagen. Ringer til UPS og får at vide at chauføren skriver noget med en kode på døren så de ikke har kunne aflevere pakken. Der er ikke engang en havelåge, så det er ikke sandt. Ringer til UPS og taler med en flink dame, men hun kan intet gøre. Hun har ikke mobil nr. til bilen så ingen kontakt til chaufføren, vi er i 2019 og alle har mobil. Så tilbudet fra UPS er hent selv din pakke eller vent til de gider komme en anden dag, ekstrem dårlig service.",1,negative,neutral,0.012,0.893,0.095
PostNord i Danmark,Dejligt at pakken kom ca,Dejligt at pakken kom ca. kl. 12.30 så jeg ikke skulle sidde og vente helt til kl. 21,4,positive,positive,0.989,0.003,0.009
UPS,Håbløst forsendelse interface,"Håbløst forsendelse interface. Måtte løbe punkterne igennem flere gange. Oprette flere forsendelser i håb om at en af dem fungerede. Endelig! Men UPS var ude af stand til at gå ind i deres eget system og slette uforklarlige fejlbehæftede pakkeforsendelser, som de ikke forstå. Men pengene kunne de godt trække. Nu håber jeg bare pakken når frem!",1,negative,negative,0.203,0.028,0.769
UPS,Hvor bliver pakkerne af?,Havde bestilte varer i Italien (??) ... og efter nogen ventetid blev de sendt afsted med UPS i 4 kasser.... de 3 nåede frem et par dage senere ... den sidste kasse .. den forsvandt bare.... og selvom den er blevet efterlyst kan UPS´s Danske kundeservice ikke fortælle om de kan finde pakken?... eller hvor lang tid undersøgelsen står på... er det 1 uge?... 1 måned? ... eller på ubestemt tid??,1,negative,neutral,0.002,0.993,0.005
PostNord i Danmark,Altid god service/levering lige til…,Altid god service/levering lige til døren. Altid gode informationer forud for levering.,5,positive,positive,0.801,0.197,0.002
PostNord i Danmark,ganske udmærket og tilfedsstillende,hurtig levering,4,positive,positive,0.953,0.045,0.002
UPS,Hurtig og præcis levering,"Varerne kom som lovet, uden forsinkelser.",4,positive,neutral,0.001,0.995,0.004
UPS,Elendigt,"Opsummering:Ubeskriveligt dårligt firma. Jeg vil fremover undgå alle webshops, der har samarbejde med UPS.Baggrund:Den forventede leveringsdato for min pakke var i går. Jeg modtager så i går aftes en mail om min pakke er blevet leveret, på trods af intet er modtaget. Jeg kan dog se på tracking at de har leveret en pakke til en anden adresse i byen. Efterfølgende står pakken nu igen som ""i transit"" dog uden en forventet leveringsdato. Jeg har nu været i kø til kundeservice i 2x30 minutter, hvor begge gange har resulteret i at forbindelsen bliver afbrudt. Elendigt.",1,negative,negative,0.002,0.001,0.997
PostNord i Danmark,Meget godt tilfreds,Meget godt tilfreds,5,positive,positive,0.998,0.001,0.001
FedEx,FedEx er komplet utroværdige.,"FedEx har åbenlyst en forretningsmodel, hvor de tager sig godt betalt uden at levere. De har den frækhed at ændre planlagt leveringstid få minutter før udløb, hvorefter de slet ikke ankommer. Stol ikke på dem. Desværre kan man ikke give nul stjerner.Jeg anbefaler, alle kontakter deres leverandører før et køb. Er det FedEx levering, så lad være med handle.",1,negative,negative,0.096,0.012,0.892
PostNord i Danmark,Pakken blev leveret til tiden uden forsinkelser,"Alt gik godt, leverandøren leverede min pakke med god service og godt humør.",5,positive,positive,0.998,0.001,0.001
PostNord i Danmark,Hurtig levering.lynhurtig levering,Hurtig levering.,5,positive,positive,0.952,0.044,0.004
UPS,Kvajhoveder,"Kvajhoveder! Leverer en cykel til 40.000 på en forkert adresse.Får en sms om, at cyklen er leveret i min garage, men jeg finder den selv 75 meter oppe ad vejen i en anden garage",1,negative,negative,0.009,0.055,0.936
UPS,Det mest elendige selskab i denne verden,Det mest elendige selskab i denne verden,1,negative,negative,0.001,0.006,0.993
PostNord i Danmark,Hurtig og sikker levering.,Hurtig og sikker levering.,5,positive,positive,0.978,0.019,0.003
PostNord i Danmark,Hurtig levering,Hurtig levering,5,positive,positive,0.953,0.045,0.002
PostNord i Danmark,Hurtig levering til posthuset,Hurtig levering til posthuset,4,positive,neutral,0.242,0.754,0.005
PostNord i Danmark,Hurtig modtagelse,Hurtig modtagelse og tilfreds service v modtagelse,5,positive,positive,0.998,0.001,0.002
PostNord i Danmark,Pakken med fotos blev afleveret uden…,Pakken med fotos blev afleveret uden beskadigelse.👏🏻,5,positive,neutral,0.001,0.996,0.002
UPS,Alt gik som det skulle og med rigtig…,"Alt gik som det skulle og med rigtig god information undervejs ., samt meget hurtig levering - tak.",5,positive,positive,0.998,0.001,0.001
PostNord i Danmark,Altid søde og venlig bude,"Jeg har en god oplevelse, pakkerne blev afleveret det rette sted",5,positive,positive,0.998,0.002,0.0
PostNord i Danmark,Alt var som det skulle være,Alt var som det skulle være,5,positive,neutral,0.014,0.974,0.012
PostNord i Danmark,Blev afleveret på rette sted.,Hurtig og på rette sted,5,positive,positive,0.991,0.008,0.001
PostNord i Danmark,Hurtig levering,Hurtig levering,5,positive,positive,0.953,0.045,0.002
UPS,Må desværre tilslutte mig mængden af…,Må desværre tilslutte mig mængden af dårlige anmeldelser på UPS.Først og fremmest blev pakken leveret forkert. (en time hver vej i bil for mig)Og for det andet havde deres kundeservice meget lidt forståelse for at det er dem der har lavet en fejl.Det bliver andre fragt metoder fremadrettet.,1,negative,negative,0.002,0.008,0.991
PostNord i Danmark,Hurtig levering og god betjening i…,Hurtig levering og god betjening i butikken. 😊,5,positive,positive,0.998,0.002,0.001
PostNord i Danmark,Alt var som forventet,Alt var som forventet og jeg blev informeret via app og med modtagerflex er det så nemt,5,positive,neutral,0.377,0.622,0.002
PostNord i Danmark,Hurtig levering,Hurtig levering - Alt ok.,5,positive,positive,0.641,0.255,0.104
UPS,De kan åbenbart ikke klokken ved UPS,De kan åbenbart ikke klokken ved UPS,1,negative,negative,0.007,0.418,0.576
PostNord i Danmark,😊😊😊,✌️✌️✌️✌️✌️✌️,5,positive,neutral,0.002,0.998,0.0
PostNord i Danmark,Ingen bøvl hentede varen som…,Ingen bøvl hentede varen som planmæssigt.,4,positive,negative,0.001,0.011,0.988
PostNord i Danmark,Fantastisk hurtig levering,Fantastisk hurtig levering,5,positive,positive,0.998,0.001,0.001
PostNord i Danmark,Fik ikke pakken selv om jeg var hjemme.,Fik ikke pakken selv om jeg var hjemme.,1,negative,neutral,0.002,0.995,0.003
FedEx,Super service,"Bestilte et par Ray Ban Aviator solbriller fra USA, og få dage senere modtog jeg varen med FedEx. Levering efter 4 dage. Højt service niveau og masser af info ang. levereing/status.",5,positive,positive,0.996,0.003,0.001
PostNord i Danmark,Leveret som forventet,Leveret som forventet,5,positive,neutral,0.003,0.996,0.001
FedEx,Rigtig god service hurtig levering…,Rigtig god service hurtig levering flink fragtmand kan kun anbefale dem,5,positive,positive,0.999,0.001,0.001
PostNord i Danmark,Hurtig og god service!,"PostNord gør et rigtigt godt job, og levere bestilte vare rigtigt hurtigt. Så det var en super god oplevelse!!",5,positive,positive,0.999,0.0,0.001
PostNord i Danmark,Hurtig levering,Hurtig levering,5,positive,positive,0.953,0.045,0.002
PostNord i Danmark,Bestilte en vare på nettet onsdag…,Bestilte en vare på nettet onsdag aften. Torsdag middag lå den i min postkasse 👏👏👏,5,positive,neutral,0.038,0.961,0.001
PostNord i Danmark,Hurtig levering.,Hurtig levering.,5,positive,positive,0.952,0.044,0.004
PostNord i Danmark,Hurtig levering,Hurtig levering,5,positive,positive,0.953,0.045,0.002
PostNord i Danmark,Kom til tiden,"Kom til tiden, afleveret af et smilende bud ved døren",5,positive,positive,0.927,0.07,0.004
PostNord i Danmark,hurtig levering,hurtig levering,4,positive,positive,0.953,0.045,0.002
PostNord i Danmark,Fin levering,Fin levering,5,positive,positive,0.995,0.005,0.001
UPS,En lidt bøvlet leveringsmetode,"Skulle jeg ikke være hjemme bliver der leveret en ""InfoNotice"". Fint nok, men disse InfoNotices bliver leveret mærkelige steder; klistret på gadedøren, postkasse, varen bliver leveret til en tilfældig beboer i ejendommen osv. Heller ikke det mest checket website. Til gengæld har jeg altid fået mine varer i god behold - lidt overraskende? :)",3,neutral,positive,0.641,0.352,0.007
PostNord i Danmark,blev afleveret som aftalt ved døren af…,blev afleveret som aftalt ved døren af flink postbud,4,positive,neutral,0.001,0.998,0.001
PostNord i Danmark,7:32,7:32 - det var den tid POSTNORD skulle bruge på at levere ordre bestilt SØNDAG kl 15:28. Godkendt.,5,positive,neutral,0.003,0.996,0.001
PostNord i Danmark,Hård behandling,Den ene af pakkerne bar præg af hård behandling. Papkasse (indpakningen) smadret.,3,neutral,negative,0.004,0.002,0.994
PostNord i Danmark,Dejlig service,Dejlig service,5,positive,positive,0.998,0.001,0.001
PostNord i Danmark,Hurtig levering og elskværdige…,Hurtig levering og elskværdige medarbeejdere hos Meny i Rønnede,5,positive,positive,0.998,0.002,0.001
PostNord i Danmark,Dårlig service,I skriver jeg vil modtage min pakke idag som ville passe mega godt da den skal bruges i weekenden…Men næ nej den er åbenbart ikke kommet og kommer derfor først på mandag!😡😡,1,negative,positive,0.58,0.413,0.007
PostNord i Danmark,god levering,god levering,5,positive,positive,0.996,0.004,0.001
PostNord i Danmark,Jeg synes det gik rigtigt godt med at…,"Jeg synes det gik rigtigt godt med at afhente min pakke. Havde mobilen åben før jeg nåede skranken, briller på så jeg uden fejl kunne oplyse de sidste fire cifre og kørekort klar så jeg uden tøven kunne verificere at jeg er mig. Derefter løftede jeg pakken lynhurtigt over i mit indkøbsnet og bar den væk - ret effektivt. Selv om jeg næppe vil kalde det at hente en pakke i Føtex’s kiosk for en OPLEVELSE, så synes jeg at jeg gjorde det ret godt. Endelig bør det fremhæves, at jeg oven i købet, helt gratis, og helt ved egen hjælp, også har bidraget til, at PostNord kan brøste sig af 5-stjernet service.",5,positive,positive,0.996,0.002,0.002
UPS,De forsøgte at aflevere pakken,"De forsøgte at aflevere pakken. Der blev aldrig ringet på- Havde endda taget fri for at kunne modtage. Der er et ups leverings sted 250 m fra min adresse, der bliver pakken selvfølgelig ikke sendt hen... Får en mail om at den ankommer til Q8 i aabyhøj- 3.1 km fra min adresse.Så jeg ringer til kundeservice, jeg kommer igennem får oplyst mit navn og pakkenr. så bliver der lagt på.  Ringer igen, får at vide at de tager sig af det.Får så en mail 1,5 timer senere. Den er nu ankommet til Q8. 3,1 km fra min adresse.Imponerende elendigt service.",1,negative,negative,0.022,0.309,0.669
PostNord i Danmark,Nemt og hurtigt.,Nemt og hurtigt.,5,positive,positive,0.915,0.066,0.018
PostNord i Danmark,Venlighed,"Venlighed, pakkerne blev sat af stille og roligt. Meget flink kvinde.",5,positive,positive,0.994,0.001,0.005
PostNord i Danmark,Hurtig levering 😊,Hurtig levering 😊,5,positive,positive,0.992,0.007,0.001
PostNord i Danmark,flot service levering ved dør,flot service tjenst villig flink mand,5,positive,positive,0.996,0.002,0.002
PostNord i Danmark,"Gode medarbejder,hurtig levering","Gode medarbejder,hurtig levering",5,positive,positive,0.997,0.002,0.001
PostNord i Danmark,Hurtig levering 👍,Hurtig levering 👍,5,positive,positive,0.992,0.007,0.001
PostNord i Danmark,Super hurtig forsendelse.,"Super hurtig forsendelse.Bestilte en vare, der skulle sendes med Post Nord, Søndag kl 16. Pakken kunne afhentes mandag kl 10.",5,positive,positive,0.807,0.191,0.002
UPS,elendig - som de 92% andre mener jeg det her…,"elendig - som de 92% andre mener jeg det her tangere verdens dårligste kunde service og er bonde fangeri. Jeg køber pakke fra UK og der er selvfølgelig moms og told på da de jo ikke er i EU længere - dette betaler jeg så regningen på (kommer i en online udgave) Efter pakken er leveret kommer der så et brev om at jeg skal betale 36,7 kr mere ... hvorfor ikke bare afregne disse fra starten? - når man man kan så kun betale denne regning via en udenlansk overførsel, og det koster så 200,- at lave. så 236,7 kr afregnet fordi de ikke kan hitte ud af at afregne det hele fra starten. kunde support findes ikke og den stakkels pige der sidder og svarer tlf må få så mange møgfald hverdag at jeg håber hun snart skifter job.... sikke et skod arbejde at have for verdens dårligste kundeservice. Hun kunne ikke stille mig ned til regnskab og hun kunne ikke sende mig til en chef.",1,negative,negative,0.001,0.001,0.998
UPS,Dårlig service,Dårlig service,1,negative,negative,0.001,0.005,0.994
PostNord i Danmark,Alt for lang ventetid i kiosken og det…,Alt for lang ventetid i kiosken og det er hver gang.,1,negative,negative,0.001,0.002,0.998
PostNord i Danmark,Efter planen.,Efter planen.,5,positive,neutral,0.001,0.998,0.0
UPS,Ups har skyldt mig over 600 kr i over 5…,"Ups har skyldt mig over 600 kr i over 5 uger nu. De svare mig ikke når jeg kontanter dem, og de unge mennesker i kundeservice ved ikke hvad de skal stille op.",1,negative,negative,0.001,0.001,0.998
UPS,“Forsøgt leveret” 2 dage i træk,"“Forsøgt leveret” 2 dage i træk, hvor jeg var hjemme. Ingen seddel i postkasse, som nok også tyder på at det ikke er helt sandt.Jeg ringer til UPS, og finder ud af, at 2. “Forsøgt afleveret” dækker over, at chaufføren har vurderet, at han ikke har kunne nå det inden han holder fri, og derfor har leveret den i en pakkeshop. Klokken var 14…",1,negative,neutral,0.062,0.893,0.046
PostNord i Danmark,Hurtig levering med en flink person,Hurtig levering med en flink person,5,positive,positive,0.998,0.001,0.001
PostNord i Danmark,i er dårlig med at sende pakker,i er dårlig med at sende pakker,1,negative,negative,0.001,0.003,0.996
UPS,Alle vegne altid,"Der er styr på track & trace og de holder hvad de lover, bruger dem på uge basis i mit arbejde",5,positive,positive,0.863,0.136,0.001
PostNord i Danmark,Hurtig levering,"Hurtig levering, afleveret på aftalte sted",5,positive,neutral,0.199,0.798,0.003
PostNord i Danmark,Hurtig levering,Hurtig levering,5,positive,positive,0.953,0.045,0.002
PostNord i Danmark,Gave,Meget hurtig levering,5,positive,positive,0.598,0.392,0.01
PostNord i Danmark,God information om hvor min pakke var,God information om hvor min pakke var. Sikkerhed for at det er jer.Jeg modtager af og til fupmails som udgiver sig for Post Nord så det er fint I har så god information,4,positive,positive,0.993,0.006,0.001
UPS,Udskudt leveringsdato x flere,Udskudt leveringsdato x flere,1,negative,neutral,0.001,0.997,0.002
UPS,hellere Postdanmark,"kan jo ikke bruge ups til noget når de ikke fatter noget.Jeg skulle sende en vare retur, og da de ikke kan sige hvornår de kan afhente pakken eller noget. og når de så endelig gøre det, kan de overhoved ikke finde ud af noget i deres eget system! jeg går i skole og arbejde, kan ikke være rigtig jeg skal være hjemme før jeg kan få min pakke!",1,negative,neutral,0.025,0.62,0.355
PostNord i Danmark,Perfekt og hurtig levering,Perfekt og hurtig levering,5,positive,positive,0.997,0.002,0.001
PostNord i Danmark,Hurtig levering,Hurtig levering,5,positive,positive,0.953,0.045,0.002
PostNord i Danmark,Venlige leveringer,Pakken stilles og jeg skal ikke til at hente den på posthus mv,5,positive,neutral,0.001,0.995,0.004
PostNord i Danmark,Det tog PostNord 3 dage fra pakken va…,Det tog PostNord 3 dage fra pakken va registret hos dem til den var på et pakkecenter,2,negative,neutral,0.001,0.997,0.002
PostNord i Danmark,Leveret inden for 12 timer,"Leveret inden for 12 timer. Havde bestilt ved et andet leveringsfirma først, hvor pakken ikke lå på min adresse da den skulle. Fik en ny via postnord og den ankom hurtigt og var der da jeg kom hjem.",5,positive,neutral,0.015,0.981,0.003
UPS,"Virkelig dårlig ""service""","Det er forkert at bruge ordet service, da der ingen form for service er. Jeg har købt og modtaget en vare, som de (ikke mit valg) bringer. Får herefter regning for ekstra services HELE 3 måneder efter, med 3 sammenhængende rykkere. Taler med 2 forskellige, som siger at ""sådan er det bare"" og det er ikke deres problem at jeg ikke har modtaget regninger til tiden. Rykkerne kan ikke annuleres?",1,negative,negative,0.002,0.081,0.917
PostNord i Danmark,Altid på pletten!!!,Jeg vil en gang for alle give fuld plade med stjerner til PostNord for deres altid hurtige leveringer. Og det gælder for fremtidige leveringer med mindre de skuffer mig. Altid på pletten! Tak for jer!!!,5,positive,positive,0.998,0.0,0.002
